steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
19000143	173894	18415.966500997543	330.5	357.5	105.7557458381235	420.0	70.0	4.645205401697553	0.9130364473563394
20000590	176017	19394.029549360275	368.3	403.5	101.72298986299344	480.0	103.0	4.880937215560226	0.887508261456259
21000260	178083	20425.230044603348	422.5	405.0	58.722038263140846	583.0	382.0	4.772989314221582	0.9144788534157091
22000095	180140	21360.35776591301	398.8	411.0	28.70462603058182	431.0	341.0	2.7425230965386205	0.9809256356484124
23001284	182094	22312.55869626999	365.2	389.5	68.58214863294319	426.0	209.0	3.525081632737075	1.0069177476084024
24000714	183984	23285.001616239548	377.7	385.0	34.84903952127742	412.0	299.0	4.328636920479767	0.9091436695115148
25001654	185885	24253.578035354614	271.3	339.5	144.59449044367722	424.0	31.0	3.7056839225531166	0.9385157066772811
26000644	187717	25282.941771030426	395.8	402.0	40.89770436371976	466.0	321.0	3.837633540663347	0.9503085648124918
27001106	189535	26215.764152288437	405.4	405.0	22.736167956217542	439.0	373.0	4.2249257406306535	0.9479652211017534
28000636	191398	27198.548809289932	406.9	420.0	27.614207293428585	432.0	351.0	2.489697658183829	0.9825858011990951
29000497	193096	28191.80176091194	406.0	410.5	41.46752410689063	498.0	352.0	2.62047867573486	0.9835480628654282
30000105	194783	29218.071846723557	392.9	417.0	70.09905689649311	484.0	238.0	3.3865499577889753	1.0026431109912295
31001254	196540	30189.158672571182	407.1	405.0	30.780405022243183	452.0	362.0	2.0088997757180724	1.0105005217662688
32000455	198281	31128.560222625732	351.2	400.0	89.92935498984127	427.0	187.0	4.925662175382443	0.9176643449365347
33001311	200055	32179.258689641953	421.4	422.5	30.056243573969414	483.0	374.0	5.084113761200248	0.9234171741175948
34001245	201651	33170.77127075195	453.9	420.5	118.46279303364973	788.0	383.0	1.1752586799811116	1.0398669987043703
35001093	203263	34094.19921350479	418.8	420.5	7.0992957397195395	427.0	402.0	3.149881424024279	1.0623095999713819
36000773	204897	35052.78150558472	366.5	408.0	106.07989651411074	428.0	78.0	2.0778143403521105	0.9776157385495056
37000069	206514	36000.14631938934	394.6	408.0	46.65285509900641	435.0	268.0	1.809367876603035	1.0695271353643225
38001677	208159	36997.331444740295	370.4	389.0	71.71424777081144	435.0	216.0	5.3964822952600935	0.9172979195439648
39000675	209893	38007.18716835976	411.3	420.0	27.992260835214196	433.0	340.0	4.937907189149071	0.9133893422086814
40000240	211500	38925.51758646965	380.1	413.5	102.80126458366162	444.0	95.0	1.9334252948782946	1.0629246436102264
41000768	213080	39932.06129980087	390.6	392.0	31.718203676192704	424.0	324.0	3.981096912821728	0.9365616790837803
42000327	214626	40948.504338264465	401.2	424.0	56.55439859109104	432.0	243.0	3.0056091371655023	1.063699163232946
43000216	216213	41965.6155166626	425.7	425.0	38.23334786399026	520.0	377.0	0.6788621401386615	1.0713685846348453
44000610	217650	42888.82493805885	457.7	424.0	132.4722612474023	830.0	377.0	2.526892381920721	0.9615246758476224
45000575	219237	43892.3164024353	487.9	426.0	146.001864523863	777.0	399.0	3.4626899172558963	1.052959631721984
46000361	220706	44857.19902801514	373.7	413.0	97.31740737287332	428.0	109.0	4.407920559545631	0.961675182163767
47000058	222294	45828.67761707306	445.9	422.0	137.10778404031058	826.0	355.0	0.8101745288990415	1.1558560296030265
