steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
8900171	17618	81302.62303495407	8428.0	7410.0	3176.6257430032756	14580.0	5080.0	6.701707711299661	2.329775297581114
9000862	17721	82252.45921516418	6318.0	6730.0	3680.8386725491428	13900.0	1180.0	5.518613425840788	2.321127520545384
9100817	17816	83238.60434651375	8398.0	6530.0	3951.792279741209	17140.0	5140.0	6.0985106975529	2.3215265426360334
9200787	17915	84182.09273695946	5780.0	5520.0	2036.467529817257	8420.0	2360.0	5.362763853732203	2.327170372202639
9300240	18016	84992.76915168762	3818.0	4490.0	1600.5957224317035	5540.0	1960.0	7.57136583316327	2.3487192412946696
9400630	18122	85960.86453175545	9032.0	7550.0	4109.795344999283	18320.0	5120.0	6.519390670237169	2.347721912623671
9500534	18235	86923.15697050095	7902.0	8560.0	2987.1792714867315	12360.0	2320.0	5.570467449776029	2.3475334780510133
9600507	18345	87875.7931895256	8564.0	7100.0	3121.6348992866615	13840.0	5740.0	6.987242029024371	2.3384400121488627
9701486	18437	88859.62583398819	9180.0	7960.0	3889.7929107972946	19260.0	5540.0	6.7815317399347315	2.353240417642569
9800696	18540	89876.70283126831	11238.0	8250.0	7123.734663472213	25040.0	4940.0	6.222205645495372	2.3305505344266035
9900494	18641	90880.65646672249	9486.0	6330.0	7338.210802217239	26160.0	3000.0	6.238627048808858	2.346783704073418
10001278	18737	91961.16211915016	11696.0	10640.0	6464.664982296711	25720.0	5560.0	5.976908733350876	2.343827290194582
10100183	18831	93100.35757780075	14512.0	12170.0	7742.346471767386	27080.0	6180.0	7.131271961376063	2.3300299254704138
10200375	18940	94170.43008446693	9386.0	6470.0	8686.116892298116	25520.0	1460.0	6.243101981514989	2.318293855127524
10301564	19033	95173.04454565048	7480.0	7360.0	2482.6867167110177	11160.0	3860.0	6.8716429942406805	2.3265287275120876
10400463	19130	96343.22444725037	15686.0	14290.0	8639.244051291627	26720.0	5800.0	7.371820699212938	2.3475909986696215
10500567	19224	97348.28499293327	8966.0	6180.0	7122.827466049638	26980.0	2320.0	7.267262342003528	2.344108768933925
10600928	19325	98469.10306692123	13776.0	10710.0	8688.811707528763	26980.0	4500.0	6.206372871846042	2.333395226240162
10700457	19421	99426.10116028786	8162.0	8270.0	3104.268745525175	13560.0	2100.0	7.717427269539144	2.3210838390930713
10800838	19526	100487.33407950401	10880.0	8480.0	7797.463975193758	25240.0	2820.0	6.205751778469011	2.313915832129348
10900643	19645	101569.54097390175	12264.0	8970.0	7053.666028700568	25340.0	6640.0	6.945230881154312	2.3363405803644794
11000077	19740	102616.72336673737	10690.0	8330.0	5455.7227853980185	19340.0	3480.0	6.901986664263361	2.3250926746262777
11100517	19840	103810.93360757828	15524.0	11970.0	9345.419793198756	27140.0	5100.0	6.74550405421137	2.3211663097641
